"Virtual";"Cycles";"Delivered packets";"Received packets";"Delivery rate (flits/node/cycle)";"Arrival rate (flits/node/cycle)";"Head Latency";"Head Latency (no locks)";"Packet Latency";"Packet Latency (no locks)";"Lock cycles";"Average Path (nodes)"
1;199673;20102;20100;0.100182;0.100164;11.728500;10.037150;26.728500;25.037150;1.691350;3.679050
1;183236;20103;20100;0.109172;0.109149;11.950300;10.035950;26.950300;25.035950;1.914350;3.678650
1;171377;20102;20100;0.116725;0.116702;12.182800;10.075850;27.182800;25.075850;2.106950;3.691950
1;159001;20105;20100;0.125822;0.125785;12.280500;10.044350;27.280500;25.044350;2.236150;3.681450
1;148929;20103;20100;0.134319;0.134292;12.490450;10.062800;27.490450;25.062800;2.427650;3.687600
1;142054;20105;20100;0.140849;0.140792;12.678350;10.071950;27.678350;25.071950;2.606400;3.690650
1;133493;20106;20100;0.149874;0.149821;12.862650;10.032350;27.862650;25.032350;2.830300;3.677450
1;124294;20101;20100;0.160955;0.160909;13.116950;10.020800;28.116950;25.020800;3.096150;3.673600
1;119451;20103;20100;0.167466;0.167433;13.369450;10.043450;28.369450;25.043450;3.326000;3.681150
1;114362;20107;20100;0.174958;0.174883;13.574200;10.047350;28.574200;25.047350;3.526850;3.682450
1;107850;20106;20100;0.185508;0.185443;13.903200;10.051100;28.903200;25.051100;3.852100;3.683700
1;103779;20106;20100;0.192785;0.192717;14.094200;10.039100;29.094200;25.039100;4.055100;3.679700
1;98618;20106;20100;0.202880;0.202803;14.506900;10.044950;29.506900;25.044950;4.461950;3.681650
1;95454;20106;20100;0.209598;0.209525;14.621000;10.047500;29.621000;25.047500;4.573500;3.682500
1;91876;20106;20100;0.217761;0.217685;15.106200;10.071050;30.106200;25.071050;5.035150;3.690350
1;87965;20107;20100;0.227454;0.227363;15.378900;10.040300;30.378900;25.040300;5.338600;3.680100
1;85051;20105;20100;0.235224;0.235153;15.551600;10.004150;30.551600;25.004150;5.547450;3.668050
1;81184;20104;20100;0.246416;0.246354;16.115950;10.046750;31.115950;25.046750;6.069200;3.682250
1;78801;20109;20100;0.253928;0.253804;16.351500;10.043600;31.351500;25.043600;6.307900;3.681200
1;76855;20108;20100;0.260347;0.260230;16.629950;10.027550;31.629950;25.027550;6.602400;3.675850
1;73931;20112;20100;0.270698;0.270523;17.101650;10.036100;32.101650;25.036100;7.065550;3.678700
1;72049;20114;20101;0.277797;0.277603;17.177341;10.043048;32.177341;25.043048;7.134293;3.681016
1;69822;20107;20100;0.286557;0.286443;17.853250;10.001000;32.853250;25.001000;7.852250;3.667000
1;67762;20111;20100;0.295328;0.295151;18.003950;10.042700;33.003950;25.042700;7.961250;3.680900
1;66641;20107;20100;0.300236;0.300116;18.457000;10.065500;33.457000;25.065500;8.391500;3.688500
1;64548;20115;20101;0.310095;0.309862;19.049148;10.016199;34.049148;25.016199;9.032948;3.672066
1;62943;20112;20100;0.317954;0.317748;19.630200;10.029950;34.630200;25.029950;9.600250;3.676650
1;61797;20113;20100;0.323867;0.323640;20.067800;10.063250;35.067800;25.063250;10.004550;3.687750
1;60053;20111;20100;0.333239;0.333039;20.534650;10.039550;35.534650;25.039550;10.495100;3.679850
1;57927;20112;20100;0.345487;0.345262;21.921900;10.037750;36.921900;25.037750;11.884150;3.679250
1;56050;20112;20100;0.357056;0.356824;22.465800;10.056350;37.465800;25.056350;12.409450;3.685450
1;54488;20110;20100;0.367255;0.367053;23.881200;10.059950;38.881200;25.059950;13.821250;3.686650
1;53345;20113;20100;0.375180;0.374918;23.680800;10.013900;38.680800;25.013900;13.666900;3.671300
1;52482;20116;20100;0.381407;0.381083;24.487850;10.043450;39.487850;25.043450;14.444400;3.681150
1;51510;20112;20100;0.388526;0.388274;25.161500;10.007900;40.161500;25.007900;15.153600;3.669300
1;50494;20115;20100;0.396404;0.396087;26.361500;10.009400;41.361500;25.009400;16.352100;3.669800
1;48924;20116;20101;0.409145;0.408818;28.017749;10.068547;43.017749;25.068547;17.949203;3.689516
1;48251;20121;20100;0.414955;0.414499;28.769600;10.068950;43.769600;25.068950;18.700650;3.689650
1;47735;20123;20100;0.419483;0.418980;29.283450;10.016900;44.283450;25.016900;19.266550;3.672300
1;46514;20115;20100;0.430322;0.429978;30.212800;10.013750;45.212800;25.013750;20.199050;3.671250
1;46207;20123;20101;0.433354;0.432856;30.404580;10.073946;45.404580;25.073946;20.330633;3.691315
1;45965;20123;20100;0.435636;0.435114;31.704400;10.004150;46.704400;25.004150;21.700250;3.668050
1;45332;20120;20100;0.441653;0.441189;31.614950;10.047800;46.614950;25.047800;21.567150;3.682600
1;45420;20123;20100;0.440863;0.440335;32.071700;10.007750;47.071700;25.007750;22.063950;3.669250
1;45290;20118;20101;0.442018;0.441621;32.179291;10.011099;47.179291;25.011099;22.168192;3.670366
1;44927;20119;20100;0.445612;0.445167;32.000150;10.009700;47.000150;25.009700;21.990450;3.669900
1;44796;20124;20100;0.447027;0.446468;32.122050;10.059950;47.122050;25.059950;22.062100;3.686650
1;45176;20121;20100;0.443200;0.442713;32.514850;10.036850;47.514850;25.036850;22.478000;3.678950
1;45011;20121;20100;0.444825;0.444336;32.393100;10.030850;47.393100;25.030850;22.362250;3.676950
1;44952;20117;20100;0.445319;0.444919;32.411250;10.021700;47.411250;25.021700;22.389550;3.673900
1;44635;20118;20100;0.448505;0.448079;32.147550;10.029650;47.147550;25.029650;22.117900;3.676550
1;44923;20120;20100;0.445674;0.445206;32.450000;10.012700;47.450000;25.012700;22.437300;3.670900
1;44851;20123;20101;0.446456;0.445943;32.435328;10.049648;47.435328;25.049648;22.385681;3.683216
